id,blueprint_ref,requirement,status,basis,landing_zone,milestone
G016,"§13","source_scope and evidence_basis represented independently",MISSING,No such fields on any social contract,Silver contracts M1,M1
G017,"§14","Olympus corpus vs tenant overlay; no placeholder tenant; resolve projection rule before corpus-derived graph writes",EXTERNALLY_BLOCKED,Decision unresolved; tenant scoping + kyber/mirror exist but no corpus->tenant projection rule,Program ledger D-OPEN; resolve in M0/M11 before corpus writes, M0/M11
G018,"§15-§16","All active social ingestion on UPR; capability vocabulary; no unearned relationship_read",MISSING,Social providers catalogued but off-UPR (provider_catalog),Provider plugins + capabilities M2,M2
G019,"§17-§18","Four acquisition classes; raw-before-canonical replay-safe data flow",MISSING,Substrate present (raw_store, sync); social normalizer absent,Bronze->Silver normalizer M3,M3
G020,"§19","Data rights gate; provider posture never code_complete->provider_live",PARTIAL,Provider catalog already honest (DISABLED_COMPLIANCE_REVIEW etc.); social path lacks consent gate,Certification + posture M2; consent M3,M2-M3
G021,"§20","Spine extension: predicate semantics, promotion, motifs, incentive, fidelity, fidelity-aware paths",MISSING,Reserved keys only (relationship_fidelity in SPINE_INDEX),M1-M8,M1-M8
G022,"§21","Relationship predicate registry JSON with py/ts twins",MISSING,No registry; contract-gen mechanism present,relationship-predicate-registry.json M1,M1
G023,"§22-§23","Relationship families; per-predicate transitivity/path behavior",PARTIAL,Path scoring exists; no predicate semantics table,Registry M1; consumption M6/M8,M1
G024,"§24-§26","RelationshipAssertion model; epistemic classes; sensitive-relationship policy",MISSING,No assertion repository,Contracts M1; storage M6,M1+M6
G025,"§27-§29","Promotion lifecycle: raw->fact->candidate->hypothesis->assertion->state; direct + aggregate promotion",MISSING,No promotion state machine,Promotion engine M6,M6
G026,"§30-§33","IncentiveContext object, status vocab, temporal segmentation, lineage propagation",MISSING,No incentive model; campaign/economic registries exist to reference,IncentiveContext M5,M5
G027,"§34-§38","RelationshipFidelityVector; canonical computation defs; no universal fidelity composite; no Probability misuse",MISSING,relationship_fidelity reserved only; computation substrate present,Definitions in shared/computation M7; metric-registry M7,M7
G028,"§39-§40","Evidence independence resolver; duplication/correlation damping",MISSING,No grouper,EvidenceGroup M6/M7,M6-M7
G029,"§41","Semantic noise filtering: fidelity consumes semantic specificity/originality",PARTIAL,Semantic service exists (semantic_intelligence); not wired to fidelity,Fidelity input seam M7,M7
G030,"§42","Coordination indicators only; bot/fraud claims stay in Fraud/Risk360",MISSING,graph_motifs authority reserved to fraud360,Indicators under graph_motifs authority M6/M7,M6-M7
G031,"§43-§45","Motif engine + registry-driven model; initial motif library M1-M10",MISSING,No motif engine,Registry M1; matcher M6,M1+M6
G032,"§46","Deterministic-first motif/promotion; model proposes, Aether validates/computes/writes",PARTIAL,Repo patterns deterministic; no motif engine yet; model harness gated,Promotion/motif engine M6; model seam only if harness available,M6
G033,"§47-§50","Fidelity recompute triggers; temporal relationship state; follow/unfollow validity; identity merge/split restatement",PARTIAL,Temporal kernel + identity merge/split exist; no relationship fidelity recompute/restatement,Recompute engine M7; restatement M11; bitemporal conventions M3,M3+M7+M11
G034,"§51-§52","Graph projection rules; every canonical relationship write through Graph Mutation Gateway; allowlist does not grow",PRESENT,Mutation gateway + intents are sole path (shared/graph/mutation_gateway.py),Consume gateway in M6; no new direct writer,M6
G035,"§53-§55","Relationship360 extension; modernized Social360 output; no arbitrary influence defaults",MISSING,No assertion/fidelity surface; legacy influence_level must go,Provider impl M1/M10; output contract M1,M1+M10
G036,"§56","Legacy /v1/profile/{id}/social-intelligence delegates to Social360; field deprecation table",PARTIAL,Legacy route exists but is an empty stub shadowing real handler (defect recorded),Compatibility wrapper M4,M4
G037,"§57-§58","Gold/materialized state: Silver reconstructable, Gold recomputable; incremental coalesced reducers",PARTIAL,Semantic gold reducers present; social gold = metric-row GoldRepository + dead DDL (defect recorded),M4 decides single gold path; reducer extension M3/M4,M3-M4
G038,"§59","Worker topology: normalizer/identity-link/state-materializer/promotion/fidelity-recompute/motif/path-staleness; supervised/idempotent",MISSING,Supervised worker substrate exists (other domains),Extend worker roles M3/M6/M7,M3+M6+M7
G039,"§60-§63","1-N hop path integration; hop contract; path types; one-hop intelligence",PARTIAL,Path system present (path_scoring/traversal, operational_intelligence models); hop enrichment absent,Hop contract M8,M8
G040,"§64-§65","Two-hop and multi-hop mixed-domain intelligence with explainable hops",PARTIAL,Traversal exists structurally; no relationship/family hop semantics,M8 path types,M8
G041,"§66-§67","Path epistemic ceiling; independent path/evidence-root counts",PARTIAL,Causality penalties exist; no ceiling contract or independence counts,Path claim ceiling M8,M8
G042,"§68-§69","Fidelity-aware strongest path; path snapshot staleness/restatement",PARTIAL,path_scoring.py + TraversalSnapshot exist; fidelity-aware scoring and staleness missing,Extend path_scoring M8,M8
G043,"§70-§80","Influence as propagation; attention decomposition (raw/incentive-exposed/independence/earned/persistent/novel/relationship-weighted/outcome-linked/coordination-adjusted)",IMPLEMENTED,"Wave 4a (A&B 2026-09-04): decompose_influence_propagation in shared/relationship_spine/influence_propagation.py returns all nine §71 components + propagation_certified/decision/reason_codes; services/relationship_intelligence/reads.read_influence serves an honest envelope (empty/insufficient when no evidence-backed path). 22 tests (tests/relationship_spine/test_influence_propagation.py)",shared/relationship_spine/influence_propagation.py + reads.read_influence,A&B-M13
G044,"§81-§86","SocialFi/EngagementFi/Narrative as Exploration Fabric lenses; lens algebra; cross-lens composition",MISSING,relationship lens exists; no social/narrative/socialfi/engagementfi lenses; projection_engine branch-only,Lens registration M9 (gated on projection_engine on base),M9
G045,"§84","Exploration filter fields (social.provider, relationship.family, incentive.status, source.scope, evidence.basis, path.type) with dispositions",MISSING,None of the six fields nor parent categories exist in filter-field-registry.json,Filter-field registry M1/M9,M1+M9
G046,"§87-§89","APIs: /v1/profile/{id}/social (or prevailing convention); legacy delegate; relationship fidelity/motif/incentive/history; path query extensions; Relationship explain",IMPLEMENTED,"A&B (2026-09-04): GET /v1/relationships/{source}/{target}/fidelity|explain|influence over services/relationship_intelligence reads helpers (read_latest_fidelity, read_relationship_basis, read_influence), consent-gated and AETHER_SOCIAL360_ENABLED=false => content-free feature_disabled. Relationship-history endpoint, dedicated motif endpoint, path-query extension and legacy delegate remain release-gate surface work (recorded residual). 47 tests (tests/relationship_intelligence/)",services/relationship_intelligence/{routes,reads,consent,coordinator}.py,A&B-M13
G047,"§90-§93","Aether profile social section; Kyber relationship inspector + provider ops; no second operator app",MISSING,Profile360 social panel reads legacy payload; no relationship inspector,Kyber/Aether surfaces M10,M10
G048,"§94","Noesis read-only intents (relationship_explain, influence_path, engagement_fidelity, incentive_context_explain)",IMPLEMENTED,"Wave 3a (A&B 2026-09-04): four relationship-spine read-only intents in services/noesis (SUPPORTED_INTENTS 31, CAPABILITY_REGISTRY 1:1, QueryPlan Literal); adapter services/noesis/adapters/relationship_spine_adapter.py; disabled flag AETHER_RELATIONSHIP_SPINE_NOESIS_ENABLED=false => service_disabled. 16 tests + classifier EVAL_CASES",services/noesis + tests/evaluation/test_noesis_classifier_eval.py,A&B-M13
G049,"§95-§102","Cross-domain integration: campaign/comms/economic/agent/geo/episode/risk/reward; consume not duplicate",PARTIAL,"M5/M6 campaign+incentive present; A&B (2026-09-04) adds the spine coordinator (services/relationship_intelligence/coordinator.py) consuming incentive-context per relationship + the D-04 independence seam; comms/economic/agent/geo/episode/risk/reward spine consumption not built (recorded residual)",RelationshipSpineCoordinator incentive enrichment + D-04 seam,A&B-M13
G050,"§103","Contextual indices only as governed Computation Definitions (e.g. campaign.creator_contribution.v1)",MISSING,No such definitions,Computation defs M7,M7
G051,"§104-§105","Storage model + requirements: social silver tables, relationship extension tables, computation via computed_results, restatement reuse",MISSING,Tables absent; storage machinery present (alembic/repositories/computed_results),Migrations M1/M3; storage policy M3,M1-M3
G052,"§106","Bronze->Silver->Gold rules; Gold never sole evidence",PRESENT,Pattern established by raw_store + reducers; apply in M3 design,Social normalizer M3,M3
G053,"§107","Data deletion/provider retractions: mark evidence, recompute, supersede, stale paths",PARTIAL,Retention/DSR authorities exist; social path not wired,Retraction flow M3/M11; tests M12,M3+M11
G054,"§108","Consent: reuse canonical purposes; only add registry-driven purpose with full twin/parity updates",PARTIAL,consent-registry.json present; social360 requiresHistoricalConsentEvaluation declared but unimplemented,Consent gating M3/M4,M3-M4
G055,"§109","Public availability does not erase data-rights/contract restrictions",PRESENT,Provider catalog compliance posture + Data Rights authority enforce,Consume in M2/M3,M2-M3
G056,"§110","Anti-distillation/abuse controls for high-cardinality social/graph extraction",TO_VERIFY,Existing controls unknown; graph query budgets exist partially,Extend controls M12; query budgets M8,M8+M12
G057,"§111","Security invariants: tenant/corpus server-side, credentials never rendered, gateway-only writes, webhook/SSRF/import controls, no model direct authority",PARTIAL,Gateway + tenant scoping + credential cipher present; social-plane specifics to enforce in M2/M3,Enforce in M2/M3; M12 security review,M2-M3+M12
G058,"§112","Static CI guardrails: validate_social360_contracts / relationship_predicates / relationship_fidelity / social_provider_runtime",IMPLEMENTED,"scripts/validate_social360_guardrails.py (M12, gate #64) enforces predicate-registration honesty (REGISTERED graphEdgeType cross-checked against live EdgeType + relationship_layers map) and absence of legacy fabricated-default/fixed-overlap idioms; contract-level checks via validate_contracts.py + M1/M2 parity/honesty pytest suites already in ci-check",scripts/validate_social360_guardrails.py wired into scripts/repo_doctor.py as gate #64,M12
G059,"§113-§114","Observability meter families; operational health distinguishes configured/healthy/degraded/credential/rights states",PARTIAL,"Readiness vocabulary registry present; A&B (2026-09-04) adds relationship-spine run meters (relationship_spine.run/computed/persisted/independence_known/incentive.enriched with {mode,tenant} labels); full social meter families + health states remain activation work",services/relationship_intelligence/coordinator.py meters,A&B-M13
G060,"§115","SLO candidates tracked only after real baselines measured",MISSING,No social SLOs; policy says measure first,Baseline measurement M12,M12
G061,"§116-§120","Legacy migration stages: inventory (done), classification, eliminate fabricated defaults, influence migration, historical backfill",PARTIAL,Inventory complete (LEGACY_SOCIAL_TRUTH_MATRIX.md); migration engine work is M4/M11,Backfill/classification M11,M4+M11
G062,"§121-§122","Shadow mode (off/shadow/warn/enforce); feature flags default OFF",MISSING,Flag-gating precedent exists (AETHER_*_ENABLED: COMMS/ACTIVATION on base),Mode infra M4; flags with M3/M4,M3-M4
G063,"§123-§132","Golden scenarios 1-10 pinned as fixtures",MISSING,No such fixtures,Fixtures per milestone M4-M8,M4-M8
G064,"§133-§135","Test program: contract/provider/normalization/computation/motif/path/security/frontend + property invariants + adversarial matrix",MISSING,Existing test suites per-domain; social/property/adversarial absent,Milestone-scoped tests + M12 hardening,M1-M12
G065,"§136-§137","Performance: no per-event graph edges, coalesced recompute, bounded queries, truncation metadata",PARTIAL,Traversal/query budgeting exists partially; social plane not built,Design into M3/M6/M8; measure M12,M3+M6+M8
G066,"§139-§153","Milestone program M0-M12 + agent partition + commit sequencing",IMPLEMENTED,"M0-M10 verified at integrated ci-check 63/0 (waves 1-4 build 2026-09-04); M11/M12 close-out slice (this commit) adds static guardrail gate #64 + migration/decommission + hardening evidence; program milestone execution complete pending the canonical close gate (gate_notes_2026_09_04)",Program execution; reports in reports/social360; ledger in PROGRAM_STATE.yaml,M0-M12
G067,"§154","Required docs: SOCIAL360, RELATIONAL_INTELLIGENCE_SPINE, RELATIONSHIP_FIDELITY, SOCIAL_PROVIDER_CONTRACT, RELATIONSHIP_PREDICATE_REGISTRY, RELATIONSHIP_PATH_SEMANTICS, SOCIAL_DATA_RIGHTS + arch/api/runbook/readiness",MISSING,No such docs; docs/blueprints/social360.md also absent,Author with each milestone; review source-linked docs,M1-M12
G068,"§155-§156","CI commands (make docs-fix/repo-doctor-fix/ci-check, release-gate if claiming); release acceptance matrix",PRESENT,Gates exist in Makefile (canonical),Run per milestone; release-gate only for release claims,M12
G069,"§157","Explicit non-goals honored (no social credit/KOL market/fraud-by-assumption/organic-vs-paid binary)",PARTIAL,Governance recorded; enforced by invariants + validators,PROGRAM_STATE/validators,M0-M12
G070,"§158","External blockers stay honest (provider API agreements, licenses, OAuth, compliance review)",PARTIAL,Provider catalog posture honest; M2 must keep code_complete != provider_live,M2 provider certification,M2+M12
G071,"§161-§163","Definition of complete: full pipeline demonstration + final gap-ledger pass (PRESENT/EXTERNALLY_BLOCKED/NOT_APPLICABLE)",IN_PROGRESS,"A&B (2026-09-04) adds the hermetic full-plane demonstration (tests/relationship_intelligence/test_full_plane.py: recorded social events -> silver facts -> materialize_observations -> coordinator -> persist_fidelity -> read_latest_fidelity; 4/0 incl. honest degraded + replay/backfill-guard semantics). Per-row re-scoring against ACTIVATED behavior + enforce-flag flip + live SLO baselines remain the release-gate activity, not this slice",A&B full-plane integration test; release-gate re-scoring,M13
